UPI Banks,Volume (Mn) By Costumers,Value (Cr) by Costumers,Volume (Mn),Value (Cr),Month,Year
Paytm Payments Bank App,462.71,53793.06,543.55,61417.53,9,2021
Paytm Payments Bank App,423.63,50021.4,498.65,56319.62,8,2021
Paytm Payments Bank App,387.85,46406.52,454.06,51694.41,7,2021
Paytm Payments Bank App,326.53,40614.09,383.05,44981.11,6,2021
Paytm Payments Bank App,290.69,35715.48,343.81,43741.16,5,2021
Paytm Payments Bank App,320.78,36859.2,372.7,41469.53,4,2021
Paytm Payments Bank App,344.99,38653.06,401.16,43221.25,3,2021
Paytm Payments Bank App,290.03,34405.44,340.71,38493.52,2,2021
Paytm Payments Bank App,281.18,33909.5,332.69,37845.76,1,2021
PhonePe,"2,140.28","4,05,173.78","2,140.28","4,05,173.78",1,2022
PhonePe,"2,120.20","4,07,640.11","2,120.20","4,07,640.11",2,2022
PhonePe,"2,527.15","4,71,401.26","2,527.15","4,71,401.26",3,2022
PhonePe,"2,616.26","4,86,557.03","2,616.26","4,86,557.03",4,2022
PhonePe,"2,778.75","5,11,028.81","2,778.75","5,11,028.81",5,2022
PhonePe,"2,732.59","5,01,474.48","2,732.59","5,01,474.48",6,2022
PhonePe,"2,993.83","5,24,742.49","2,993.83","5,24,742.49",7,2022
PhonePe,2077.6,394565.58,2077.6,394565.58,12,2021
PhonePe,1911.21,365044.32,1911.21,365044.32,11,2021
PhonePe,1937.57,365845.39,1937.57,365845.39,10,2021
PhonePe,1653.19,306437.37,1653.19,306437.37,9,2021
PhonePe,1622.95,301644.8,1622.95,301644.8,8,2021
PhonePe,1492.09,288573,1492.09,288572.9,7,2021
PhonePe,1292.71,262565.88,1292.71,262565.88,6,2021
PhonePe,1149.84,234123.57,1149.84,234123.57,5,2021
PhonePe,1189.89,234023.33,1189.89,234023.33,4,2021
PhonePe,1199.51,231412.33,1199.51,231412.33,3,2021
PhonePe,975.53,189517.82,975.53,189517.82,2,2021
PhonePe,968.72,191973.77,968.72,191973.77,1,2021
Samsung Pay,3.17,431.07,3.17,431.07,1,2022
Samsung Pay,3.14,421.97,3.14,421.97,2,2022
Samsung Pay,3.73,473.5,3.73,473.5,3,2022
Samsung Pay,3.81,470.11,3.81,470.11,4,2022
Samsung Pay,4.11,490.3,4.11,490.3,5,2022
Samsung Pay,4.07,468.23,4.07,468.23,6,2022
Samsung Pay,4.05,472.39,4.05,472.39,7,2022
Samsung Pay,3.21,436.3,3.21,436.3,12,2021
Samsung Pay,2.8,412.13,2.8,412.13,11,2021
Samsung Pay,2.81,428.41,2.81,428.41,10,2021
Samsung Pay,2.37,371.1,2.37,371.1,9,2021
Samsung Pay,2.25,372.08,2.25,372.08,8,2021
Samsung Pay,2.02,367.67,2.02,367.67,7,2021
Samsung Pay,1.64,331.04,1.64,331.04,6,2021
Samsung Pay,1.36,302.68,1.36,302.68,5,2021
